   N                                            Prod              Pf$_{\\text{G-C,Robledo,Bertsch}}$              Pf$_{\\text{Wimmer;Parlett-Reid}}$                Pf$_{\\text{Wimmer;Housholder}}$
  34    3.54022573995705142266133946440601078100E-08    5.13012168179942932504308950898743788900E-16    5.80720541984416936641351671519021749600E-16    9.24570620116845427513258215023773973400E-16
  50    3.00726967865127921355478521811933348100E-28    9.32476845462194735951354909147029902900E-16    2.97677741000150467006298021832532945100E-15    2.23841793894596772625357723057880922000E-15
  66    9.26638894903644637649868161997613572100E-53    1.18228959776507089159851410780787496600E-15    3.78487172107681233133999628199515226100E-15    3.97657065031126483752146652906148477900E-15
  82    2.30603300058316174546613195085904780800E-78    1.15514913513274208038199779305002036300E-16    3.27592430655403631487490372210068945200E-15    3.85365568733361622888133594270523679100E-15
 100    1.32755390733146998447683103459477881200-109    5.48558380454405586452361890902334169000E-18    2.70957048986043865244337596241030900800E-15    5.88748098394797773682006028422117382200E-15
 116    4.54294453987856366383097264617066684500-138    8.98832362200690922330260671105771840400E-16    3.94543190504054217345492732221191603300E-15    5.31398238663349342321998687692342823100E-15
 132    2.73280912059582675954578089088743704100-167    1.11139272437033351650900969451141322500E-15    3.10867838581234597379107264858790070800E-15    7.65875756334769257739663238748249543400E-15
 148    1.88230315348536269093578074814265317500-197    3.17948840421834317782916059598519276400E-16    4.47721906132717388414352120665981833800E-15    1.12011851011711406704499826209948260900E-14
 166    8.89559278860517419262027047609273265600-232    1.58814617873595319058394062643183781400E-15    5.93801715357345543368164061664549699700E-15    1.53234255727579381033856112247267182700E-14
 182    1.05722305050234772148440929576837896200-262    3.19636349226312931276376906987856797200E-16    5.72792450083982327514642406220010760100E-15    1.47590537476336564667349850369646874500E-14
 198    3.31463739137294404274545278467023938900-294    3.30521063243932394193262761994243220400E-16    5.47326169512041823601738789052582130300E-15    1.55216280188222248849161969308329169900E-14
 214    3.82607832503390081248265372785995916700-326    1.83871130616625378073085734327760060600E-16    6.56814712730477440200922914183805814600E-15    1.64340148985613551050236383677577291200E-14
 232    2.87071624604464006299072663392769070300-362    3.07389084447232253428228062092252250900E-16    7.27840946542162710749286568965980162100E-15    1.36209581687076555689705397807838860500E-14
